X1,LOG10.X1
0.9993,-0.0003
0.9956,-0.0019
0.9967,-0.0014
1.0007,0.0003
1.0008,0.0003
0.9984,-0.0007
0.9995,-0.0002
1.0039,0.0017
1.0083,0.0036
1.0011,0.0005
0.9991,-0.0004
0.9994,-0.0003
0.9915,-0.0037
0.9766,-0.0103
0.972,-0.0123
0.9676,-0.0143
0.9623,-0.0167
0.9664,-0.0148
0.9763,-0.0104
0.9799,-0.0088
0.9864,-0.0059
0.983,-0.0074
0.9874,-0.0055
0.9882,-0.0052
0.9948,-0.0023
1.0004,0.0002
1.0005,0.0002
1.011,0.0048
1.0286,0.0122
1.0264,0.0113
1.0309,0.0132
1.0354,0.0151
1.0263,0.0113
1.0251,0.0108
1.0139,0.0060
1.0139,0.0060
1.0065,0.0028
0.9935,-0.0028
0.9859,-0.0062
0.9836,-0.0072
0.9802,-0.0087
0.9736,-0.0116
0.9722,-0.0122
0.9854,-0.0064
0.9751,-0.0110
0.9727,-0.0120
0.9859,-0.0062
1.0183,0.0079
1.0103,0.0045
1.0279,0.0120
1.0513,0.0217
1.0515,0.0218
1.0486,0.0206
1.0577,0.0244
1.0612,0.0258
1.075,0.0314
1.0733,0.0307
1.0989,0.0410
1.1093,0.0450
1.0973,0.0403
1.1012,0.0419
1.113,0.0465
1.1258,0.0515
1.1417,0.0576
1.1186,0.0487
1.1218,0.0499
1.1246,0.0510
1.1404,0.0571
1.1664,0.0668
1.1828,0.0729
1.1731,0.0693
1.1798,0.0718
1.1899,0.0755
1.1956,0.0776
1.1739,0.0696
1.1464,0.0593
1.1556,0.0628
1.1724,0.0691
1.1639,0.0659
1.1706,0.0684
1.1653,0.0664
1.1754,0.0702
1.1797,0.0718
1.17,0.0682
1.164,0.0660
1.1555,0.0628
1.1731,0.0693
1.1861,0.0741
1.1741,0.0697
1.1516,0.0613
1.1523,0.0616
1.1592,0.0642
1.1647,0.0662
1.1691,0.0679
1.1864,0.0742
1.1968,0.0780
1.1909,0.0759
1.1984,0.0786
1.1914,0.0761
1.191,0.0759
1.201,0.0795
1.2041,0.0807
1.2107,0.0830
1.2232,0.0875
1.2008,0.0795
1.2029,0.0802
1.1872,0.0745
1.1851,0.0738
1.1926,0.0765
1.214,0.0842
1.2205,0.0865
1.2252,0.0882
1.2336,0.0912
1.2756,0.1057
1.27,0.1038
1.2452,0.0952
1.2348,0.0916
1.2301,0.0899
1.2262,0.0886
1.2385,0.0929
1.2287,0.0894
1.2277,0.0891
1.2263,0.0886
1.2325,0.0908
1.2292,0.0896
1.2323,0.0907
1.2323,0.0907
1.2338,0.0912
1.2326,0.0908
1.232,0.0906
1.2367,0.0923
1.2469,0.0958
1.2484,0.0964
1.248,0.0962
1.2697,0.1037
1.2796,0.1071
1.2944,0.1121
1.304,0.1153
