X1,X2,X3,X4,X5
1.01070,1.16080,1.08580,1.02040,0.80598
1.02290,1.16710,1.06930,1.00120,0.76983
1.04500,1.16100,1.05670,0.97249,0.74101
1.07570,1.14600,1.04740,0.93495,0.72052
1.11010,1.12630,1.04010,0.89187,0.70847
1.14070,1.10530,1.03220,0.84760,0.70411
1.16080,1.08580,1.02040,0.80598,0.70598
1.16710,1.06930,1.00120,0.76983,0.71233
1.16100,1.05670,0.97249,0.74101,0.72153
1.14600,1.04740,0.93495,0.72052,0.73263
1.12630,1.04010,0.89187,0.70847,0.74569
1.10530,1.03220,0.84760,0.70411,0.76206
1.08580,1.02040,0.80598,0.70598,0.78426
1.06930,1.00120,0.76983,0.71233,0.81500
1.05670,0.97249,0.74101,0.72153,0.85525
1.04740,0.93495,0.72052,0.73263,0.90261
1.04010,0.89187,0.70847,0.74569,0.95212
1.03220,0.84760,0.70411,0.76206,0.99901
1.02040,0.80598,0.70598,0.78426,1.04050
1.00120,0.76983,0.71233,0.81500,1.07580
0.97249,0.74101,0.72153,0.85525,1.10560
0.93495,0.72052,0.73263,0.90261,1.13100
0.89187,0.70847,0.74569,0.95212,1.15350
0.84760,0.70411,0.76206,0.99901,1.17410
0.80598,0.70598,0.78426,1.04050,1.19350
0.76983,0.71233,0.81500,1.07580,1.21220
0.74101,0.72153,0.85525,1.10560,1.23040
0.72052,0.73263,0.90261,1.13100,1.24800
0.70847,0.74569,0.95212,1.15350,1.26530
0.70411,0.76206,0.99901,1.17410,1.28210
0.70598,0.78426,1.04050,1.19350,1.29740
0.71233,0.81500,1.07580,1.21220,1.30860
0.72153,0.85525,1.10560,1.23040,1.31050
0.73263,0.90261,1.13100,1.24800,1.29810
0.74569,0.95212,1.15350,1.26530,1.27010
0.76206,0.99901,1.17410,1.28210,1.22890
0.78426,1.04050,1.19350,1.29740,1.17850
0.81500,1.07580,1.21220,1.30860,1.12280
0.85525,1.10560,1.23040,1.31050,1.06460
0.90261,1.13100,1.24800,1.29810,1.00570
0.95212,1.15350,1.26530,1.27010,0.94742
0.99901,1.17410,1.28210,1.22890,0.89034
1.04050,1.19350,1.29740,1.17850,0.83500
1.07580,1.21220,1.30860,1.12280,0.78171
1.10560,1.23040,1.31050,1.06460,0.73068
1.13100,1.24800,1.29810,1.00570,0.68205
1.15350,1.26530,1.27010,0.94742,0.63592
1.17410,1.28210,1.22890,0.89034,0.59241
1.19350,1.29740,1.17850,0.83500,0.55188
1.21220,1.30860,1.12280,0.78171,0.51501
1.23040,1.31050,1.06460,0.73068,0.48293
1.24800,1.29810,1.00570,0.68205,0.45724
1.26530,1.27010,0.94742,0.63592,0.44014
1.28210,1.22890,0.89034,0.59241,0.43462
1.29740,1.17850,0.83500,0.55188,0.44433
1.30860,1.12280,0.78171,0.51501,0.47264
1.31050,1.06460,0.73068,0.48293,0.52063
1.29810,1.00570,0.68205,0.45724,0.58502
1.27010,0.94742,0.63592,0.44014,0.65841
1.22890,0.89034,0.59241,0.43462,0.73219
1.17850,0.83500,0.55188,0.44433,0.79961
1.12280,0.78171,0.51501,0.47264,0.85681
1.06460,0.73068,0.48293,0.52063,0.90231
1.00570,0.68205,0.45724,0.58502,0.93618
0.94742,0.63592,0.44014,0.65841,0.95925
0.89034,0.59241,0.43462,0.73219,0.97272
0.83500,0.55188,0.44433,0.79961,0.97805
0.78171,0.51501,0.47264,0.85681,0.97683
0.73068,0.48293,0.52063,0.90231,0.97086
0.68205,0.45724,0.58502,0.93618,0.96222
0.63592,0.44014,0.65841,0.95925,0.95335
0.59241,0.43462,0.73219,0.97272,0.94717
0.55188,0.44433,0.79961,0.97805,0.94694
0.51501,0.47264,0.85681,0.97683,0.95577
0.48293,0.52063,0.90231,0.97086,0.97564
0.45724,0.58502,0.93618,0.96222,1.00620
0.44014,0.65841,0.95925,0.95335,1.04390
0.43462,0.73219,0.97272,0.94717,1.08210
0.44433,0.79961,0.97805,0.94694,1.11350
0.47264,0.85681,0.97683,0.95577,1.13400
0.52063,0.90231,0.97086,0.97564,1.14360
0.58502,0.93618,0.96222,1.00620,1.14470
0.65841,0.95925,0.95335,1.04390,1.14110
0.73219,0.97272,0.94717,1.08210,1.13590
0.79961,0.97805,0.94694,1.11350,1.13160
0.85681,0.97683,0.95577,1.13400,1.12980
0.90231,0.97086,0.97564,1.14360,1.13130
0.93618,0.96222,1.00620,1.14470,1.13560
0.95925,0.95335,1.04390,1.14110,1.14160
0.97272,0.94717,1.08210,1.13590,1.14700
0.97805,0.94694,1.11350,1.13160,1.14910
0.97683,0.95577,1.13400,1.12980,1.14400
0.97086,0.97564,1.14360,1.13130,1.12790
0.96222,1.00620,1.14470,1.13560,1.09890
0.95335,1.04390,1.14110,1.14160,1.05860
0.94717,1.08210,1.13590,1.14700,1.01180
0.94694,1.11350,1.13160,1.14910,0.96331
0.95577,1.13400,1.12980,1.14400,0.91675
0.97564,1.14360,1.13130,1.12790,0.87430
1.00620,1.14470,1.13560,1.09890,0.83690
1.04390,1.14110,1.14160,1.05860,0.80451
1.08210,1.13590,1.14700,1.01180,0.77644
1.11350,1.13160,1.14910,0.96331,0.75153
1.13400,1.12980,1.14400,0.91675,0.72858
1.14360,1.13130,1.12790,0.87430,0.70656
1.14470,1.13560,1.09890,0.83690,0.68498
1.14110,1.14160,1.05860,0.80451,0.66396
1.13590,1.14700,1.01180,0.77644,0.64441
1.13160,1.14910,0.96331,0.75153,0.62809
1.12980,1.14400,0.91675,0.72858,0.61788
1.13130,1.12790,0.87430,0.70656,0.61771
