X1,X2,X3,X4,X5
1.01,1.16,1.09,1.02,0.81
1.02,1.17,1.07,1.00,0.77
1.05,1.16,1.06,0.97,0.74
1.08,1.15,1.05,0.93,0.72
1.11,1.13,1.04,0.89,0.71
1.14,1.11,1.03,0.85,0.70
1.16,1.09,1.02,0.81,0.71
1.17,1.07,1.00,0.77,0.71
1.16,1.06,0.97,0.74,0.72
1.15,1.05,0.93,0.72,0.73
1.13,1.04,0.89,0.71,0.75
1.11,1.03,0.85,0.70,0.76
1.09,1.02,0.81,0.71,0.78
1.07,1.00,0.77,0.71,0.82
1.06,0.97,0.74,0.72,0.86
1.05,0.93,0.72,0.73,0.90
1.04,0.89,0.71,0.75,0.95
1.03,0.85,0.70,0.76,1.00
1.02,0.81,0.71,0.78,1.04
1.00,0.77,0.71,0.82,1.08
0.97,0.74,0.72,0.86,1.11
0.93,0.72,0.73,0.90,1.13
0.89,0.71,0.75,0.95,1.15
0.85,0.70,0.76,1.00,1.17
0.81,0.71,0.78,1.04,1.19
0.77,0.71,0.82,1.08,1.21
0.74,0.72,0.86,1.11,1.23
0.72,0.73,0.90,1.13,1.25
0.71,0.75,0.95,1.15,1.27
0.70,0.76,1.00,1.17,1.28
0.71,0.78,1.04,1.19,1.30
0.71,0.82,1.08,1.21,1.31
0.72,0.86,1.11,1.23,1.31
0.73,0.90,1.13,1.25,1.30
0.75,0.95,1.15,1.27,1.27
0.76,1.00,1.17,1.28,1.23
0.78,1.04,1.19,1.30,1.18
0.82,1.08,1.21,1.31,1.12
0.86,1.11,1.23,1.31,1.06
0.90,1.13,1.25,1.30,1.01
0.95,1.15,1.27,1.27,0.95
1.00,1.17,1.28,1.23,0.89
1.04,1.19,1.30,1.18,0.84
1.08,1.21,1.31,1.12,0.78
1.11,1.23,1.31,1.06,0.73
1.13,1.25,1.30,1.01,0.68
1.15,1.27,1.27,0.95,0.64
1.17,1.28,1.23,0.89,0.59
1.19,1.30,1.18,0.84,0.55
1.21,1.31,1.12,0.78,0.52
1.23,1.31,1.06,0.73,0.48
1.25,1.30,1.01,0.68,0.46
1.27,1.27,0.95,0.64,0.44
1.28,1.23,0.89,0.59,0.43
1.30,1.18,0.84,0.55,0.44
1.31,1.12,0.78,0.52,0.47
1.31,1.06,0.73,0.48,0.52
1.30,1.01,0.68,0.46,0.59
1.27,0.95,0.64,0.44,0.66
1.23,0.89,0.59,0.43,0.73
1.18,0.84,0.55,0.44,0.80
1.12,0.78,0.52,0.47,0.86
1.06,0.73,0.48,0.52,0.90
1.01,0.68,0.46,0.59,0.94
0.95,0.64,0.44,0.66,0.96
0.89,0.59,0.43,0.73,0.97
0.84,0.55,0.44,0.80,0.98
0.78,0.52,0.47,0.86,0.98
0.73,0.48,0.52,0.90,0.97
0.68,0.46,0.59,0.94,0.96
0.64,0.44,0.66,0.96,0.95
0.59,0.43,0.73,0.97,0.95
0.55,0.44,0.80,0.98,0.95
0.52,0.47,0.86,0.98,0.96
0.48,0.52,0.90,0.97,0.98
0.46,0.59,0.94,0.96,1.01
0.44,0.66,0.96,0.95,1.04
0.43,0.73,0.97,0.95,1.08
0.44,0.80,0.98,0.95,1.11
0.47,0.86,0.98,0.96,1.13
0.52,0.90,0.97,0.98,1.14
0.59,0.94,0.96,1.01,1.14
0.66,0.96,0.95,1.04,1.14
0.73,0.97,0.95,1.08,1.14
0.80,0.98,0.95,1.11,1.13
0.86,0.98,0.96,1.13,1.13
0.90,0.97,0.98,1.14,1.13
0.94,0.96,1.01,1.14,1.14
0.96,0.95,1.04,1.14,1.14
0.97,0.95,1.08,1.14,1.15
0.98,0.95,1.11,1.13,1.15
0.98,0.96,1.13,1.13,1.14
0.97,0.98,1.14,1.13,1.13
0.96,1.01,1.14,1.14,1.10
0.95,1.04,1.14,1.14,1.06
0.95,1.08,1.14,1.15,1.01
0.95,1.11,1.13,1.15,0.96
0.96,1.13,1.13,1.14,0.92
0.98,1.14,1.13,1.13,0.87
1.01,1.14,1.14,1.10,0.84
1.04,1.14,1.14,1.06,0.80
1.08,1.14,1.15,1.01,0.78
1.11,1.13,1.15,0.96,0.75
1.13,1.13,1.14,0.92,0.73
1.14,1.13,1.13,0.87,0.71
1.14,1.14,1.10,0.84,0.68
1.14,1.14,1.06,0.80,0.66
1.14,1.15,1.01,0.78,0.64
1.13,1.15,0.96,0.75,0.63
1.13,1.14,0.92,0.73,0.62
1.13,1.13,0.87,0.71,0.62
1.14,1.10,0.84,0.68,0.63
1.14,1.06,0.80,0.66,0.66
1.15,1.01,0.78,0.64,0.71
1.15,0.96,0.75,0.63,0.76
1.14,0.92,0.73,0.62,0.82
1.13,0.87,0.71,0.62,0.88
1.10,0.84,0.68,0.63,0.93
1.06,0.80,0.66,0.66,0.98
1.01,0.78,0.64,0.71,1.02
0.96,0.75,0.63,0.76,1.06
0.92,0.73,0.62,0.82,1.09
0.87,0.71,0.62,0.88,1.11
0.84,0.68,0.63,0.93,1.13
0.80,0.66,0.66,0.98,1.15
0.78,0.64,0.71,1.02,1.15
0.75,0.63,0.76,1.06,1.16
0.73,0.62,0.82,1.09,1.17
0.71,0.62,0.88,1.11,1.18
0.68,0.63,0.93,1.13,1.19
0.66,0.66,0.98,1.15,1.21
0.64,0.71,1.02,1.15,1.23
0.63,0.76,1.06,1.16,1.25
0.62,0.82,1.09,1.17,1.26
0.62,0.88,1.11,1.18,1.26
0.63,0.93,1.13,1.19,1.24
0.66,0.98,1.15,1.21,1.21
0.71,1.02,1.15,1.23,1.16
0.76,1.06,1.16,1.25,1.12
0.82,1.09,1.17,1.26,1.06
0.88,1.11,1.18,1.26,1.01
0.93,1.13,1.19,1.24,0.96
0.98,1.15,1.21,1.21,0.91
1.02,1.15,1.23,1.16,0.86
1.06,1.16,1.25,1.12,0.82
1.09,1.17,1.26,1.06,0.78
1.11,1.18,1.26,1.01,0.74
1.13,1.19,1.24,0.96,0.70
1.15,1.21,1.21,0.91,0.66
1.15,1.23,1.16,0.86,0.62
1.16,1.25,1.12,0.82,0.58
1.17,1.26,1.06,0.78,0.55
1.18,1.26,1.01,0.74,0.52
1.19,1.24,0.96,0.70,0.50
1.21,1.21,0.91,0.66,0.49
1.23,1.16,0.86,0.62,0.50
1.25,1.12,0.82,0.58,0.52
1.26,1.06,0.78,0.55,0.57
1.26,1.01,0.74,0.52,0.62
1.24,0.96,0.70,0.50,0.69
1.21,0.91,0.66,0.49,0.76
1.16,0.86,0.62,0.50,0.82
1.12,0.82,0.58,0.52,0.88
1.06,0.78,0.55,0.57,0.93
1.01,0.74,0.52,0.62,0.97
0.96,0.70,0.50,0.69,1.00
0.91,0.66,0.49,0.76,1.02
0.86,0.62,0.50,0.82,1.04
0.82,0.58,0.52,0.88,1.04
0.78,0.55,0.57,0.93,1.04
0.74,0.52,0.62,0.97,1.04
0.70,0.50,0.69,1.00,1.03
0.66,0.49,0.76,1.02,1.03
0.62,0.50,0.82,1.04,1.03
0.58,0.52,0.88,1.04,1.04
0.55,0.57,0.93,1.04,1.06
0.52,0.62,0.97,1.04,1.09
0.50,0.69,1.00,1.03,1.12
0.49,0.76,1.02,1.03,1.15
0.50,0.82,1.04,1.03,1.17
0.52,0.88,1.04,1.04,1.18
0.57,0.93,1.04,1.06,1.17
0.62,0.97,1.04,1.09,1.16
0.69,1.00,1.03,1.12,1.13
0.76,1.02,1.03,1.15,1.10
0.82,1.04,1.03,1.17,1.08
0.88,1.04,1.04,1.18,1.05
0.93,1.04,1.06,1.17,1.03
0.97,1.04,1.09,1.16,1.02
1.00,1.03,1.12,1.13,1.00
1.02,1.03,1.15,1.10,0.99
1.04,1.03,1.17,1.08,0.98
1.04,1.04,1.18,1.05,0.95
1.04,1.06,1.17,1.03,0.93
1.04,1.09,1.16,1.02,0.89
1.03,1.12,1.13,1.00,0.85
1.03,1.15,1.10,0.99,0.81
1.03,1.17,1.08,0.98,0.77
1.04,1.18,1.05,0.95,0.73
1.06,1.17,1.03,0.93,0.70
1.09,1.16,1.02,0.89,0.68
1.12,1.13,1.00,0.85,0.68
1.15,1.10,0.99,0.81,0.68
1.17,1.08,0.98,0.77,0.69
1.18,1.05,0.95,0.73,0.70
1.17,1.03,0.93,0.70,0.73
1.16,1.02,0.89,0.68,0.75
1.13,1.00,0.85,0.68,0.78
1.10,0.99,0.81,0.68,0.81
1.08,0.98,0.77,0.69,0.84
1.05,0.95,0.73,0.70,0.88
1.03,0.93,0.70,0.73,0.93
1.02,0.89,0.68,0.75,0.97
1.00,0.85,0.68,0.78,1.02
0.99,0.81,0.68,0.81,1.06
0.98,0.77,0.69,0.84,1.09
0.95,0.73,0.70,0.88,1.12
0.93,0.70,0.73,0.93,1.14
0.89,0.68,0.75,0.97,1.16
0.85,0.68,0.78,1.02,1.17
0.81,0.68,0.81,1.06,1.19
0.77,0.69,0.84,1.09,1.21
0.73,0.70,0.88,1.12,1.22
0.70,0.73,0.93,1.14,1.24
0.68,0.75,0.97,1.16,1.26
0.68,0.78,1.02,1.17,1.28
0.68,0.81,1.06,1.19,1.29
0.69,0.84,1.09,1.21,1.30
0.70,0.88,1.12,1.22,1.30
0.73,0.93,1.14,1.24,1.28
0.75,0.97,1.16,1.26,1.24
0.78,1.02,1.17,1.28,1.20
0.81,1.06,1.19,1.29,1.15
0.84,1.09,1.21,1.30,1.09
0.88,1.12,1.22,1.30,1.03
0.93,1.14,1.24,1.28,0.98
0.97,1.16,1.26,1.24,0.92
1.02,1.17,1.28,1.20,0.87
1.06,1.19,1.29,1.15,0.81
1.09,1.21,1.30,1.09,0.76
1.12,1.22,1.30,1.03,0.72
1.14,1.24,1.28,0.98,0.67
1.16,1.26,1.24,0.92,0.62
1.17,1.28,1.20,0.87,0.58
1.19,1.29,1.15,0.81,0.54
1.21,1.30,1.09,0.76,0.51
1.22,1.30,1.03,0.72,0.48
1.24,1.28,0.98,0.67,0.46
1.26,1.24,0.92,0.62,0.45
1.28,1.20,0.87,0.58,0.45
1.29,1.15,0.81,0.54,0.47
1.30,1.09,0.76,0.51,0.51
1.30,1.03,0.72,0.48,0.56
1.28,0.98,0.67,0.46,0.63
1.24,0.92,0.62,0.45,0.70
1.20,0.87,0.58,0.45,0.77
1.15,0.81,0.54,0.47,0.84
1.09,0.76,0.51,0.51,0.89
1.03,0.72,0.48,0.56,0.93
0.98,0.67,0.46,0.63,0.96
0.92,0.62,0.45,0.70,0.98
0.87,0.58,0.45,0.77,0.99
0.81,0.54,0.47,0.84,0.99
0.76,0.51,0.51,0.89,0.99
0.72,0.48,0.56,0.93,0.98
0.67,0.46,0.63,0.96,0.97
0.62,0.45,0.70,0.98,0.97
0.58,0.45,0.77,0.99,0.96
0.54,0.47,0.84,0.99,0.97
0.51,0.51,0.89,0.99,0.98
0.48,0.56,0.93,0.98,1.01
0.46,0.63,0.96,0.97,1.04
0.45,0.70,0.98,0.97,1.08
0.45,0.77,0.99,0.96,1.11
0.47,0.84,0.99,0.97,1.14
0.51,0.89,0.99,0.98,1.15
0.56,0.93,0.98,1.01,1.15
0.63,0.96,0.97,1.04,1.14
0.70,0.98,0.97,1.08,1.13
0.77,0.99,0.96,1.11,1.12
0.84,0.99,0.97,1.14,1.12
0.89,0.99,0.98,1.15,1.11
0.93,0.98,1.01,1.15,1.11
0.96,0.97,1.04,1.14,1.11
0.98,0.97,1.08,1.13,1.12
0.99,0.96,1.11,1.12,1.12
0.99,0.97,1.14,1.12,1.11
0.99,0.98,1.15,1.11,1.10
0.98,1.01,1.15,1.11,1.07
0.97,1.04,1.14,1.11,1.04
0.97,1.08,1.13,1.12,0.99
0.96,1.11,1.12,1.12,0.94
0.97,1.14,1.12,1.11,0.90
0.98,1.15,1.11,1.10,0.86
1.01,1.15,1.11,1.07,0.82
1.04,1.14,1.11,1.04,0.79
1.08,1.13,1.12,0.99,0.77
1.11,1.12,1.12,0.94,0.75
1.14,1.12,1.11,0.90,0.73
1.15,1.11,1.10,0.86,0.71
1.15,1.11,1.07,0.82,0.70
1.14,1.11,1.04,0.79,0.69
1.13,1.12,0.99,0.77,0.67
1.12,1.12,0.94,0.75,0.66
1.12,1.11,0.90,0.73,0.66
1.11,1.10,0.86,0.71,0.66
1.11,1.07,0.82,0.70,0.68
1.11,1.04,0.79,0.69,0.72
1.12,0.99,0.77,0.67,0.76
1.12,0.94,0.75,0.66,0.82
1.11,0.90,0.73,0.66,0.87
1.10,0.86,0.71,0.66,0.93
1.07,0.82,0.70,0.68,0.98
1.04,0.79,0.69,0.72,1.02
0.99,0.77,0.67,0.76,1.06
