RawSensor1,RawSensor2,RawSensor3,RawSensor4,RawSensor5
-1.45085,-1.38484,-1.39497,-2.31202,-2.12803
-1.50391,-1.36836,-1.42342,-2.23854,-2.08704
-1.53855,-1.36068,-1.48209,-2.19921,-2.03361
-1.622,-1.39166,-1.51188,-2.11729,-2.00772
-1.65329,-1.4015,-1.58073,-2.07551,-1.94513
-1.7087,-1.45084,-1.65197,-1.99138,-1.87698
-1.73694,-1.48371,-1.77124,-1.83858,-1.84425
-1.76122,-1.54814,-1.81059,-1.7112,-1.76689
-1.82477,-1.60091,-1.8835,-1.65741,-1.58719
-1.82477,-1.66779,-1.94822,-1.59325,-1.54366
-1.86609,-1.78249,-2.01729,-1.58359,-1.48315
-1.9052,-1.82804,-2.0507,-1.59323,-1.46757
-1.94126,-1.92148,-2.10271,-1.60468,-1.44455
-1.96212,-1.96186,-2.12049,-1.62038,-1.39805
-2.00616,-2.02487,-2.08838,-1.64499,-1.3647
-2.00616,-2.06642,-2.02777,-1.69398,-1.30462
-2.04448,-2.08798,-2.01173,-1.74823,-1.35068
-2.06289,-2.13946,-1.95208,-1.77157,-1.40948
-2.11767,-2.16379,-1.9324,-1.815,-1.5198
-2.13065,-2.18841,-1.86377,-1.85872,-1.53746
-2.13486,-2.19088,-1.762,-1.89879,-1.5536
-2.03824,-2.19007,-1.70843,-1.93522,-1.57432
-1.90044,-2.17612,-1.54684,-1.97214,-1.60878
-1.81109,-2.10273,-1.41204,-2.01096,-1.6374
-1.74784,-2.06134,-1.36565,-2.03215,-1.69364
-1.57198,-1.97981,-1.35105,-2.07711,-1.73817
-1.46682,-1.94445,-1.30686,-2.12167,-1.76189
-1.4218,-1.77675,-1.28303,-2.14214,-1.7889
-1.34037,-1.73453,-1.24855,-2.1848,-1.84783
-1.32027,-1.66199,-1.25309,-2.20896,-1.90402
-1.31947,-1.53233,-1.30025,-2.29143,-1.92846
-1.32824,-1.43438,-1.33183,-2.29143,-1.97326
-1.35123,-1.41678,-1.37776,-2.38934,-1.99605
-1.38257,-1.39798,-1.39983,-2.42276,-2.04241
-1.38881,-1.40196,-1.46554,-2.4185,-2.06781
-1.41773,-1.3978,-1.49176,-2.41167,-2.11545
-1.48581,-1.36512,-1.56085,-2.3903,-2.15123
-1.51345,-1.35087,-1.63201,-2.34044,-2.17015
-1.52369,-1.34632,-1.70294,-2.31122,-2.15574
-1.54161,-1.34628,-1.77545,-2.24456,-2.12631
-1.59099,-1.3569,-1.81793,-2.20874,-2.0447
-1.61826,-1.38515,-1.89004,-2.12974,-2.02798
-1.67921,-1.42091,-1.95516,-2.0874,-1.97448
-1.70851,-1.45654,-2.02674,-1.99504,-1.9276
-1.76048,-1.54243,-2.08907,-1.8881,-1.83416
-1.78127,-1.60133,-2.08907,-1.76797,-1.79623
-1.81972,-1.63661,-2.10232,-1.66403,-1.71184
-1.83988,-1.71835,-2.07208,-1.62681,-1.56334
-1.87738,-1.75903,-2.02161,-1.58176,-1.44073
-1.89335,-1.88816,-1.9845,-1.5806,-1.41938
-1.9318,-1.93408,-1.96548,-1.59403,-1.38882
-1.97816,-2.00477,-1.89351,-1.60355,-1.3393
-2.0608,-2.05366,-1.84339,-1.62742,-1.31422
-2.07908,-2.07517,-1.73582,-1.67179,-1.26522
-2.11764,-2.11695,-1.62856,-1.69456,-1.25963
-2.11764,-2.12646,-1.57563,-1.71764,-1.37651
-2.12647,-2.12596,-1.47301,-1.76629,-1.43705
-2.0964,-2.10817,-1.43073,-1.81112,-1.49132
-2.00834,-2.08608,-1.35029,-1.85318,-1.49006
-1.96205,-2.05346,-1.31858,-1.89376,-1.52663
-1.86845,-1.96987,-1.27995,-1.91181,-1.57172
-1.75882,-1.93008,-1.24348,-1.94871,-1.59176
-1.68088,-1.85949,-1.25768,-1.96905,-1.64234
-1.61345,-1.80967,-1.27562,-2.01296,-1.67056
-1.49829,-1.71245,-1.31165,-2.06036,-1.7235
