X1,LOG10.X1
3.4,0.5315
3.8,0.5798
4,0.6021
3.9,0.5911
3.5,0.5441
3.6,0.5563
3.6,0.5563
3.9,0.5911
3.8,0.5798
3.7,0.5682
3.8,0.5798
4,0.6021
4.3,0.6335
4.7,0.6721
5,0.6990
5.3,0.7243
6.1,0.7853
6.2,0.7924
6.7,0.8261
6.8,0.8325
6.6,0.8195
7.9,0.8976
6.4,0.8062
6.6,0.8195
6.5,0.8129
6.4,0.8062
6.3,0.7993
5.8,0.7634
5.5,0.7404
5.4,0.7324
5,0.6990
4.5,0.6532
4.4,0.6435
4.2,0.6232
4.2,0.6232
4.3,0.6335
3.7,0.5682
3.4,0.5315
3.4,0.5315
3.1,0.4914
3,0.4771
3.2,0.5051
3.1,0.4914
3.1,0.4914
3.3,0.5185
3.5,0.5441
3.5,0.5441
3.1,0.4914
3.2,0.5051
3.1,0.4914
2.9,0.4624
2.9,0.4624
3,0.4771
3,0.4771
3.2,0.5051
3.4,0.5315
3.1,0.4914
3,0.4771
2.8,0.4472
2.7,0.4314
2.9,0.4624
2.6,0.4150
2.6,0.4150
2.7,0.4314
2.5,0.3979
2.5,0.3979
2.6,0.4150
2.7,0.4314
2.9,0.4624
3.1,0.4914
3.5,0.5441
4.5,0.6532
4.9,0.6902
5.2,0.7160
5.7,0.7559
5.9,0.7709
5.9,0.7709
5.6,0.7482
5.8,0.7634
6,0.7782
6.1,0.7853
5.7,0.7559
5.3,0.7243
5,0.6990
4.9,0.6902
4.7,0.6721
4.6,0.6628
4.7,0.6721
4.3,0.6335
4.2,0.6232
4,0.6021
4.2,0.6232
4.1,0.6128
4.3,0.6335
4.2,0.6232
4.2,0.6232
4,0.6021
3.9,0.5911
4.2,0.6232
4,0.6021
4.3,0.6335
4.3,0.6335
4.4,0.6435
4.1,0.6128
3.9,0.5911
3.9,0.5911
4.3,0.6335
4.2,0.6232
4.2,0.6232
3.9,0.5911
3.7,0.5682
3.9,0.5911
4.1,0.6128
4.3,0.6335
4.2,0.6232
4.1,0.6128
4.4,0.6435
4.5,0.6532
5.1,0.7076
5.2,0.7160
5.8,0.7634
6.4,0.8062
6.7,0.8261
7.4,0.8692
7.4,0.8692
7.3,0.8633
7.5,0.8751
7.4,0.8692
7.1,0.8513
6.7,0.8261
6.2,0.7924
6.2,0.7924
6,0.7782
5.9,0.7709
5.6,0.7482
5.2,0.7160
5.1,0.7076
5,0.6990
5.1,0.7076
5.2,0.7160
5.5,0.7404
5.7,0.7559
5.8,0.7634
5.3,0.7243
5.2,0.7160
4.8,0.6812
5.4,0.7324
5.2,0.7160
5.1,0.7076
5.4,0.7324
5.5,0.7404
5.6,0.7482
5.5,0.7404
6.1,0.7853
6.1,0.7853
6.6,0.8195
6.6,0.8195
6.9,0.8388
6.9,0.8388
7,0.8451
7.1,0.8513
6.9,0.8388
7,0.8451
6.6,0.8195
6.7,0.8261
6.5,0.8129
6.1,0.7853
6,0.7782
5.8,0.7634
5.5,0.7404
5.6,0.7482
5.6,0.7482
5.5,0.7404
5.5,0.7404
5.4,0.7324
5.7,0.7559
5.6,0.7482
5.4,0.7324
5.7,0.7559
5.5,0.7404
5.7,0.7559
5.9,0.7709
5.7,0.7559
5.7,0.7559
5.9,0.7709
5.6,0.7482
5.6,0.7482
5.4,0.7324
5.5,0.7404
5.5,0.7404
5.7,0.7559
5.5,0.7404
5.6,0.7482
5.4,0.7324
5.4,0.7324
5.3,0.7243
5.1,0.7076
5.2,0.7160
4.9,0.6902
5,0.6990
5.1,0.7076
5.1,0.7076
4.8,0.6812
5,0.6990
4.9,0.6902
5.1,0.7076
4.7,0.6721
4.8,0.6812
4.6,0.6628
4.6,0.6628
4.4,0.6435
4.4,0.6435
4.3,0.6335
4.2,0.6232
4.1,0.6128
4,0.6021
4,0.6021
3.8,0.5798
3.8,0.5798
3.8,0.5798
3.9,0.5911
3.8,0.5798
3.8,0.5798
